frame,vehicle_type,confidence,timestamp
3,car,0.69,18:26:48
3,car,0.66,18:26:48
3,car,0.64,18:26:48
3,truck,0.58,18:26:48
6,car,0.77,18:26:48
6,car,0.7,18:26:48
6,car,0.62,18:26:48
6,truck,0.57,18:26:48
6,car,0.53,18:26:48
6,car,0.41,18:26:48
9,car,0.7,18:26:49
9,car,0.66,18:26:49
9,truck,0.63,18:26:49
9,car,0.63,18:26:49
9,car,0.63,18:26:49
9,bus,0.42,18:26:49
12,car,0.78,18:26:49
12,car,0.78,18:26:49
12,car,0.76,18:26:49
12,truck,0.73,18:26:49
12,car,0.68,18:26:49
15,car,0.85,18:26:49
15,car,0.74,18:26:49
15,car,0.71,18:26:49
15,car,0.53,18:26:49
15,truck,0.51,18:26:49
18,car,0.81,18:26:49
18,car,0.68,18:26:49
18,truck,0.58,18:26:49
18,car,0.55,18:26:49
21,truck,0.81,18:26:49
21,car,0.73,18:26:49
21,car,0.61,18:26:49
21,bus,0.5,18:26:49
24,car,0.79,18:26:49
24,bus,0.78,18:26:49
24,car,0.71,18:26:49
24,car,0.71,18:26:49
24,truck,0.66,18:26:49
27,bus,0.81,18:26:49
27,car,0.74,18:26:49
27,car,0.74,18:26:49
27,car,0.73,18:26:49
27,truck,0.52,18:26:49
27,truck,0.44,18:26:49
30,truck,0.77,18:26:49
30,bus,0.74,18:26:49
30,car,0.72,18:26:49
30,car,0.67,18:26:49
30,car,0.47,18:26:49
33,bus,0.8,18:26:49
33,car,0.78,18:26:49
33,truck,0.61,18:26:49
33,car,0.6,18:26:49
33,bus,0.47,18:26:49
36,bus,0.73,18:26:50
36,car,0.7,18:26:50
36,truck,0.55,18:26:50
36,car,0.54,18:26:50
36,bus,0.48,18:26:50
39,car,0.74,18:26:50
39,truck,0.71,18:26:50
39,car,0.47,18:26:50
39,bus,0.47,18:26:50
42,car,0.76,18:26:50
42,truck,0.75,18:26:50
42,car,0.64,18:26:50
42,bus,0.6,18:26:50
42,bus,0.46,18:26:50
45,car,0.77,18:26:50
45,truck,0.65,18:26:50
45,car,0.61,18:26:50
45,bus,0.54,18:26:50
45,car,0.46,18:26:50
48,car,0.78,18:26:50
48,car,0.7,18:26:50
48,truck,0.68,18:26:50
48,bus,0.53,18:26:50
48,car,0.49,18:26:50
51,truck,0.73,18:26:50
51,car,0.71,18:26:50
51,car,0.68,18:26:50
51,car,0.63,18:26:50
51,bus,0.56,18:26:50
54,car,0.79,18:26:50
54,truck,0.75,18:26:50
54,car,0.7,18:26:50
54,car,0.69,18:26:50
54,bus,0.67,18:26:50
54,car,0.51,18:26:50
57,car,0.77,18:26:50
57,bus,0.73,18:26:50
57,car,0.69,18:26:50
57,car,0.58,18:26:50
57,truck,0.55,18:26:50
57,car,0.47,18:26:50
57,car,0.43,18:26:50
60,car,0.78,18:26:51
60,bus,0.74,18:26:51
60,car,0.72,18:26:51
60,car,0.56,18:26:51
60,car,0.54,18:26:51
60,truck,0.53,18:26:51
60,bus,0.52,18:26:51
60,car,0.45,18:26:51
63,car,0.73,18:26:51
63,car,0.64,18:26:51
63,car,0.62,18:26:51
63,car,0.59,18:26:51
63,car,0.53,18:26:51
63,car,0.49,18:26:51
63,bus,0.49,18:26:51
63,car,0.4,18:26:51
